Colombia;52,215,500
Amazonas;85,100
Antioquia;6,848,400
Arauca;313,100
Atlántico;2,803,600
Bogotá, Distrito Especial;7,907,300
Bolívar;2,247,300
Boyacá;1,298,800
Caldas;1,040,300
Caquetá;425,100
Casanare;467,800
Cauca;1,558,000
Cesar;1,373,600
Chocó;595,100
Córdoba;1,898,900
Cundinamarca;3,445,300
Guainía;56,600
Guaviare;97,600
Huila;1,178,500
La Guajira;1,038,400
Magdalena;1,496,200
Meta;1,130,100
Nariño;1,699,600
Norte de Santander;1,696,700
Putumayo;383,000
Quindío;563,100
Risaralda;972,300
San Andrés y Providencia;62,300
Santander;2,357,100
Sucre;994,100
Tolima;1,374,400
Valle del Cauca;4,638,000
Vaupés;46,800
Vichada;123,300
